Name,Position,Games Played,Total Goals,Shots,Shot Pct,Assists,Points
Bryce Wasserman,A,2,0,2,0.0,0,0
Brendan Sunday,A,3,1,5,0.2,1,2
John Uppgren,A,2,0,4,0.0,0,0
Nate Solomon,A,0,0,0,0.0,0,0
Randy Staats,A,0,0,0,0.0,0,0
Dylan Maltz,A,0,0,0,0.0,0,0
Christian Cuccinello,A,3,0,5,0.0,1,1
Clarke Petterson,A,0,0,0,0.0,0,0
Brendan Gleason,A,0,0,0,0.0,0,0
Matt Gaudet,A,0,0,0,0.0,0,0
Brendan Kavanagh,A,0,0,0,0.0,0,0
Miles Thompson,A,0,0,0,0.0,0,0
Curtis Dickson,A,0,0,0,0.0,0,0
James Pannell,A,0,0,0,0.0,0,0
Justin Guterding,A,8,6,34,0.1764705882352941,3,9
Ryan Tierney,A,6,1,12,0.0833333333333333,2,3
Chris Aslanian,A,6,5,19,0.2631578947368421,1,6
Zed Williams,A,8,23,79,0.2911392405063291,1,25
Michael Sowers,A,1,2,6,0.3333333333333333,0,2
Michael Kraus,A,4,1,11,0.0909090909090909,3,4
Ben Reeves,A,8,8,23,0.3478260869565217,3,11
Ryan Brown,A,9,20,70,0.2857142857142857,1,21
Kieran McArdle,A,8,12,45,0.2666666666666666,12,25
Ryan Lee,A,3,4,14,0.2857142857142857,1,5
Rob Pannell,A,9,13,68,0.1911764705882352,16,29
Ryder Garnsey,A,9,14,45,0.3111111111111111,1,15
Matt Kavanagh,A,9,15,53,0.2830188679245283,5,20
Jackson Morrill,A,9,16,40,0.4,6,22
Colin Heacock,A,9,16,41,0.3902439024390244,1,19
Dylan Molloy,A,3,6,20,0.3,4,10
Tommy Palasek,A,4,2,9,0.2222222222222222,4,6
Jordan Wolf,A,1,0,3,0.0,2,2
Ryan Smith,A,5,7,13,0.5384615384615384,2,9
Mac O'Keefe,A,9,9,29,0.3103448275862069,2,13
Chase Fraser,A,5,12,35,0.3428571428571428,1,13
Wes Berg,A,5,5,11,0.4545454545454545,2,7
Josh Byrne,A,9,17,67,0.2537313432835821,12,29
Chris Cloutier,A,9,12,33,0.3636363636363636,7,19
Jake Carraway,A,9,16,54,0.2962962962962963,3,21
Jeff Teat,A,7,16,40,0.4,16,32
Mark Cockerton,A,9,9,36,0.25,4,13
Eric Law,A,9,15,38,0.3947368421052631,9,24
Andrew Kew,A,6,10,23,0.4347826086956521,3,13
Shayne Jackson,A,5,10,27,0.3703703703703703,3,13
Lyle Thompson,A,9,22,67,0.3283582089552239,10,32
Ryan Drenner,A,9,18,47,0.3829787234042553,3,21
Simon Mathias,A,2,3,12,0.25,0,3
Matt Rambo,A,6,12,45,0.2666666666666666,6,18
Jay Carlson,A,9,18,47,0.3829787234042553,0,18
Tre Leclaire,A,6,7,16,0.4375,0,7
Grant Ament,A,9,13,39,0.3333333333333333,22,35
Connor Fields,A,9,13,40,0.325,8,22
Will Manny,A,9,19,50,0.38,7,26
Marcus Holman,A,9,16,50,0.32,8,24
