Name,Position,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct
Drew Simoneau,FO,74,31,43,0.4189189189189189
Peyton Smith,FO,24,9,15,0.375
Gerard Arceri,FO,0,0,0,0.0
Noah Rak,FO,0,0,0,0.0
Casey Dowd,FO,0,0,0,0.0
Kevin Reisman,FO,104,40,64,0.3846153846153846
Chris Mattes,FO,0,0,0,0.0
Greg Puskuldjian,FO,0,0,0,0.0
Austin Henningsen,FO,0,0,0,0.0
Brendan Fowler,FO,0,0,0,0.0
Thomas Kelly,FO,41,11,30,0.2682926829268293
Jake Withers,FO,215,117,98,0.5441860465116279
Charlie Leonard,FO,17,5,12,0.2941176470588235
TD Ierlan,FO,203,132,71,0.6502463054187192
Connor Farrell,FO,217,104,113,0.4792626728110599
Kyle Gallagher,FO,40,12,28,0.3
Max Adler,FO,167,81,86,0.4850299401197604
Trevor Baptiste,FO,229,149,80,0.6506550218340611
Joseph Nardella,FO,221,127,94,0.5746606334841629
Conor Gaffney,FO,23,9,14,0.391304347826087
Stephen Kelly,FO,193,89,104,0.4611398963730569
