First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
TJ,Comizio,44,SSDM,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Dylan,Molloy,17,A,2,6,4,4,0,2,14,0.2857142857142857,7,0.5,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Dominique,Alexander,23,SSDM,8,3,2,2,0,1,2,1,2,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Christian,Cuccinello,30,A,2,1,0,0,0,1,3,0,1,0.3333333333333333,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Peyton,Smith,8,FO,1,0,0,0,0,0,0,0,0,0,0,,0,24,9,15,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Brian,Phipps,30,G,3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,0.375,5,10,0,0,1440,0,0,0,0,0,0,,0
Kyle,Hartzell,,LSM,2,0,0,0,0,0,0,0,0,0,0,,0,3,1,2,0.3333333333333333,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Nick,Manis,,M,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Justin,Guterding,22,A,7,7,5,5,0,2,32,0.15625,20,0.625,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
Jamie,Trimboli,12,M,2,2,1,1,0,1,4,0.25,1,0.25,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Tim,Edwards,23,M,4,0,0,0,0,0,0,0,0,0,0,,0,5,2,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Drew,Simoneau,5,FO,3,0,0,0,0,0,2,0,1,0.5,0,,0,74,31,43,0.4189189189189189,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
Chris,Hogan,15,M,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Tate,Boyce,20,G,3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,16.271186440677965,0,0,177,0,0,0,0,0,0,,0
CJ,Costabile,9,LSM,4,5,2,0,2,1,5,0.4,4,0.8,5,,4,5,2,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
James,Barclay,28,D,8,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kevin,Reisman,13,FO,4,0,0,0,0,0,5,0,0,0,0,,0,82,30,52,0.36585365853658536,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kevin,Rogers,77,M,5,12,8,7,1,3,24,0.3333333333333333,14,0.5833333333333334,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Connor,Farrell,25,FO,8,2,2,2,0,0,2,1,2,1,0,,0,192,88,104,0.4583333333333333,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Will,Haus,6,SSDM,6,0,0,0,0,0,5,0,2,0.4,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jack,Near,2,SSDM,6,0,0,0,0,0,4,0,3,0.75,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0
John,Sexton,46,LSM,7,0,0,0,0,0,2,0,1,0.5,1,,0,5,2,3,0.4,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Bryce,Wasserman,77,A,2,0,0,0,0,0,2,0,2,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Sam,Duggan,29,SSDM,4,1,0,0,0,1,1,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Kyle,Harrison,18,M,8,6,4,3,1,1,15,0.26666666666666666,10,0.6666666666666666,3,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
John,Haus,26,M,7,12,6,6,0,6,43,0.13953488372093023,25,0.5813953488372093,5,,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,0
Ryan,Drenner,22,A,8,21,18,18,0,3,46,0.391304347826087,33,0.717391304347826,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,,0
Tim,Troutner,0,G,8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,108,0.571428571428571,84,12,3,0,20160,0,0,0,0,0,0,,4
Reed,Junkin,16,G,5,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0.5,1,9.381107491856678,0,0,307,0,0,0,0,0,0,,0
Mark,Glicini,16,SSDM,8,0,0,0,0,0,2,0,2,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Ryan,Tierney,11,A,6,3,1,1,0,2,12,0.08333333333333333,9,0.75,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,,0
Mike,Chanenchuk,1,M,8,14,7,6,1,6,46,0.15217391304347827,25,0.5434782608695652,16,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0
Brendan,Sunday,24,A,3,2,1,1,0,1,5,0.2,3,0.6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Patrick,Resch,34,SSDM,8,3,0,0,0,3,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Brad,Smith,27,M,8,19,11,11,0,8,42,0.2619047619047619,21,0.5,5,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,,0
Matt,Abbott,3,SSDM,7,2,1,1,0,1,5,0.2,4,0.8,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Christian,Mazzone,6,M,4,5,3,3,0,2,9,0.3333333333333333,5,0.5555555555555556,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Grant,Ament,16,A,8,31,10,10,0,21,34,0.29411764705882354,24,0.7058823529411765,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Latrell,Harris,22,SSDM,8,5,4,4,0,1,6,0.6666666666666666,5,0.8333333333333334,0,,0,0,0,0,0,0,0,0,0,0,0,0,3,1.5,0,0,0,0,,0
Ryan,Ambler,13,M,8,14,12,12,0,2,35,0.34285714285714286,19,0.5428571428571428,3,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,0
Joel,Tinney,55,M,1,0,0,0,0,0,2,0,1,0.5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Scott,Ratliff,2,LSM,8,7,2,0,2,3,6,0.3333333333333333,5,0.8333333333333334,4,,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Tom,Schreiber,26,M,8,24,13,13,0,11,58,0.22413793103448276,32,0.5517241379310345,5,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,0
Mikie,Schlosser,59,M,8,12,10,9,1,1,33,0.30303030303030304,22,0.6666666666666666,2,,2,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,2,0,0,,0
Jacob,Stover,0,G,8,0,0,0,0,0,1,0,1,1,0,,0,0,0,0,0,3,0.333333333333333,6,24.033379694019473,0,0,719,0,0,0,1,0,0,,0
Kieran,McArdle,6,A,7,21,11,10,1,9,40,0.275,28,0.7,2,,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,,0
