Name,Position,Saves,Save Pct,Scores Against,Scores Against Average
Adam Ghitelman,G,95,0.616883116883117,64,0.0
Blaze Riorden,G,149,0.610655737704918,103,0.0
Tim Troutner,G,125,0.581395348837209,93,0.0
Drew Adams,G,35,0.564516129032258,31,0.0
John Galloway,G,118,0.559241706161137,99,12.375000000000002
Nick Marrocco,G,137,0.556910569105691,114,0.0
Dillon Ward,G,95,0.53072625698324,91,0.0
Jack Concannon,G,57,0.504424778761062,60,0.0
Reed Junkin,G,1,0.5,1,9.381107491856678
JD Colarusso,G,45,0.494505494505495,47,0.0
Kyle Bernlohr,G,95,0.48469387755102,107,0.0
Jack Kelly,G,10,0.434782608695652,13,0.0
Sean Sconone,G,8,0.380952380952381,16,0.0
Brian Phipps,G,3,0.375,5,0.0
Jacob Stover,G,3,0.333333333333333,6,0.0
Charlie Cipriano,G,2,0.285714285714286,6,0.0
Matt DeLuca,G,0,0.0,1,0.0
Sam Lucchesi,G,0,0.0,0,0.0
Austin Kaut,G,0,0.0,2,0.0
Tate Boyce,G,0,0.0,1,0.0
Alex Ready,G,0,0.0,0,0.0
Nick Washuta,G,0,0.0,0,0.0
